,Seed 1,,,Seed 2,,,Seed 3,,,Seed 4,,,Seed 5,,,Average,,,
312,17,12,0,18,15,0,29,25,0,9,6,0,23,17,0,19.2,15,0,
313,19,13,0,17,15,3,27,26,4,9,6,10,22,16,0,18.8,15.2,3.4,
314,17,15,12,16,13,0,28,25,0,9,6,5,21,15,0,18.2,14.8,3.4,
315,18,15,3,17,13,123,29,27,0,10,6,0,22,14,0,19.2,15,25.2,
316,19,14,0,19,14,0,30,27,8,12,6,0,24,15,12,20.8,15.2,4,
317,19,14,0,20,13,0,31,26,0,11,7,0,22,14,0,20.6,14.8,0,
318,19,16,0,17,13,0,31,25,39,12,8,7,20,16,0,19.8,15.6,9.2,
319,19,16,0,17,12,0,30,24,15,14,9,0,19,17,0,19.8,15.6,3,
320,18,16,0,18,11,4,28,22,41,12,8,0,20,17,24,19.2,14.8,13.8,
321,17,16,0,17,10,0,27,20,0,12,8,0,19,17,12,18.4,14.2,2.4,
322,18,15,71,15,10,7,26,19,0,12,9,0,18,16,26,17.8,13.8,20.8,
323,18,14,0,15,9,0,27,20,0,11,9,0,20,15,0,18.2,13.4,0,
324,19,15,0,15,10,5,25,21,0,12,9,0,18,15,0,17.8,14,1,
325,20,16,0,14,8,0,24,23,0,15,12,0,19,15,0,18.4,14.8,0,
326,19,17,0,13,8,0,23,23,61,14,13,0,19,15,5,17.6,15.2,13.2,
327,22,18,0,13,8,11,26,22,0,15,14,0,18,16,0,18.8,15.6,2.2,
328,22,18,0,11,8,0,28,24,0,15,13,0,19,16,0,19,15.8,0,
329,21,18,0,12,9,139,27,23,0,15,12,0,23,18,31,19.6,16,34,
330,21,17,0,14,9,0,28,24,0,16,12,22,23,16,0,20.4,15.6,4.4,
331,21,16,0,12,9,0,29,24,0,15,10,0,23,17,0,20,15.2,0,
332,22,15,0,12,9,0,27,26,31,14,10,0,21,15,0,19.2,15,6.2,
333,20,15,10,11,10,0,27,25,0,15,11,0,22,16,0,19,15.4,2,
334,20,14,15,13,10,0,29,25,11,14,11,0,24,16,16,20,15.2,8.4,
335,20,14,0,14,10,0,30,24,0,12,11,0,22,14,0,19.6,14.6,0,
336,17,14,0,14,12,0,31,25,0,13,10,0,22,14,0,19.4,15,0,
337,16,14,0,13,12,0,31,26,2,12,10,0,23,16,0,19,15.6,0.4,
338,14,14,0,13,12,17,29,25,79,12,10,2,19,16,0,17.4,15.4,19.6,
339,15,15,0,13,11,0,28,25,21,10,7,0,19,15,0,17,14.6,4.2,
340,15,15,0,14,11,22,27,24,11,10,7,0,20,16,29,17.2,14.6,12.4,
341,15,14,0,14,10,0,26,23,0,10,6,0,19,14,0,16.8,13.4,0,
342,15,11,55,14,11,0,26,23,0,8,6,0,20,15,0,16.6,13.2,11,
343,15,9,13,14,10,0,26,22,0,9,7,0,18,15,0,16.4,12.6,2.6,
344,15,8,0,14,10,0,25,20,44.5,9,8,6.5,17,16,0,16,12.4,10.2,
345,17,9,0,15,11,0,26,18,0,9,5,0,18,16,13.5,17,11.8,2.7,
346,16,10,0,16,11,0,24,17,0,10,4,0,18,15,4,16.8,11.4,0.8,
347,19,11,0,14,12,1,25,17,0,9,4,0,19,14,0,17.2,11.6,0.2,
348,15,10,0,14,11,0,22,16,0,8,4,0,18,14,0,15.4,11,0,
349,16,10,0,16,11,0,20,17,0,6,4,0,20,15,0,15.6,11.4,0,
350,11,10,0,15,10,0,21,18,0,6,5,0,20,15,0,14.6,11.6,0,
351,12,10,0,15,11,0,20,18,0,8,4,0,18,14,20,14.6,11.4,4,
352,13,10,0,13,10,23,21,19,39,8,4,0,17,12,0,14.4,11,12.4,
353,12,9,0,13,10,0,21,17,34,9,5,0,18,13,0,14.6,10.8,6.8,
354,13,9,0,15,11,0,21,16,37.5,8,6,0,16,12,6,14.6,10.8,8.7,
355,11,8,0,14,12,6,20,13,0,8,6,0,17,12,0,14,10.2,1.2,
356,12,8,0,13,10,0,23,14,0,9,6,0,15,12,0,14.4,10,0,
357,12,8,20,13,10,0,24,15,0,9,5,0,16,12,0,14.8,10,4,
358,14,8,62,13,9,0,24,16,47,10,7,18,18,12,10,15.8,10.4,27.4,
359,13,8,0,13,9,0,22,14,12,9,6,0,18,13,0,15,10,2.4,
360,14,9,0,12,11,10,19,13,11,11,7,0,17,14,1,14.6,10.8,4.4,
361,13,10,1,11,10,0,19,13,0,10,7,0,16,13,0,13.8,10.6,0.2,
362,12,9,0,12,10,0,17,14,0,8,8,0,19,13,0,13.6,10.8,0,
363,12,9,0,12,10,0,19,14,0,9,8,0,18,13,0,14,10.8,0,
364,14,9,0,12,10,0,18,14,6,10,7,0,17,12,0,14.2,10.4,1.2,
365,14,10,0,12,8,0,17,15,0,10,7,0,18,14,0,14.2,10.8,0,
366,13,10,8,13,7,0,17,15,48,11,8,0,16,14,0,14,10.8,11.2,
367,14,9,0,12,8,0,19,14,0,8,8,0,17,14,0,14,10.6,0,
368,13,10,0,13,9,0,22,17,3,9,7,0,18,14,24,15,11.4,5.4,
369,12,11,0,14,8,3,21,18,30,9,6,0,18,14,0,14.8,11.4,6.6,
370,12,10,0,13,6,0,21,17,0,10,7,0,17,15,0,14.6,11,0,
371,13,10,0,11,7,0,20,17,0,8,7,0,18,15,34,14,11.2,6.8,
372,11,10,0,11,7,21,22,16,53,9,6,0,17,14,10,14,10.6,16.8,
373,12,11,0,11,7,0,22,16,0,9,7,0,17,10,0,14.2,10.2,0,
374,16,13,55,9,6,0,23,17,12,9,7,0,16,10,0,14.6,10.6,13.4,
375,14,13,4,9,6,0,26,17,0,10,7,0,16,11,0,15,10.8,0.8,
376,14,11,0,9,5,0,26,17,0,8,6,0,15,11,0,14.4,10,0,
377,15,11,0,9,6,0,24,16,0,9,6,0,12,11,2,13.8,10,0.4,
378,15,11,0,8,6,0,22,17,0,10,5,0,13,10,0,13.6,9.8,0,
379,14,11,0,9,7,0,22,15,0,10,7,0,13,10,0,13.6,10,0,
380,14,11,0,10,6,0,23,15,0,10,7,0,14,10,0,14.2,9.8,0,
381,14,11,0,8,6,0,21,16,2,9,8,0,15,10,0,13.4,10.2,0.4,
382,12,11,0,9,6,0,20,14,0,9,8,0,14,11,32,12.8,10,6.4,
383,13,11,3,10,7,0,20,14,0,8,8,0,12,10,0,12.6,10,0.6,
384,13,10,0,10,8,0,20,13,0,10,6,0,13,9,0,13.2,9.2,0,
385,14,10,0,9,7,0,18,13,0,10,6,0,12,9,0,12.6,9,0,
386,12,10,0,10,7,0,21,16,54,11,8,0,11,9,0,13,10,10.8,
387,13,11,0,11,8,0,21,18,0,10,9,0,12,10,0,13.4,11.2,0,
388,11,9,0,9,8,0,20,17,0,10,10,0,12,10,0,12.4,10.8,0,
389,11,8,1,11,8,0,22,18,0,10,10,0,13,11,25,13.4,11,5.2,
390,14,9,0,9,8,0,21,17,0,10,10,0,14,10,8,13.6,10.8,1.6,
391,14,10,0,9,7,0,20,14,0,10,9,0,13,9,0,13.2,9.8,0,
392,14,10,57,9,7,0,19,14,0,10,9,0,12,9,0,12.8,9.8,11.4,
393,14,9,0,10,6,13,20,15,0,11,9,0,12,10,0,13.4,9.8,2.6,
394,10,8,13,11,6,0,18,15,3,11,9,0,13,11,0,12.6,9.8,3.2,
395,9,7,0,8,5,0,16,13,0,11,9,12,13,12,0,11.4,9.2,2.4,
396,9,7,0,9,5,0,15,13,12,10,8,0,13,11,0,11.2,8.8,2.4,
397,11,8,0,10,4,0,19,14,0,10,8,0,14,12,9,12.8,9.2,1.8,
398,11,8,0,11,5,0,18,14,0,10,7,0,14,11,0,12.8,9,0,
399,10,8,0,9,5,0,17,14,0,10,6,0,14,11,0,12,8.8,0,
400,9,8,0,8,5,0,17,14,23,11,4,0,13,12,0,11.6,8.6,4.6,
401,9,7,11,8,5,0,15,13,0,9,3,0,14,12,0,11,8,2.2,
402,9,6,0,7,4,0,14,10,0,8,3,0,13,12,43,10.2,7,8.6,
403,9,5,0,7,4,0,16,8,12,6,3,0,14,10,0,10.4,6,2.4,
404,9,6,0,6,5,0,16,9,0,6,3,0,14,12,16,10.2,7,3.2,
405,10,5,0,6,5,0,14,8,0,5,3,0,13,10,31,9.6,6.2,6.2,
406,11,5,0,7,5,0,15,8,0,5,2,0,12,9,0,10,5.8,0,
407,10,6,0,6,5,0,14,9,0,5,3,0,13,9,0,9.6,6.4,0,
408,9,7,2,7,4,0,12,10,0,7,3,0,13,9,0,9.6,6.6,0.4,
409,9,6,0,6,4,0,11,11,0,6,3,0,13,8,15,9,6.4,3,
410,10,7,0,5,4,0,13,12,15,5,4,0,11,6,0,8.8,6.6,3,
411,12,10,0,5,4,0,13,10,0,5,4,19,12,6,5,9.4,6.8,4.8,
412,11,10,5,6,4,0,16,11,0,7,4,0,12,5,0,10.4,6.8,1,
413,12,9,0,7,5,0,16,9,0,7,3,0,11,6,0,10.6,6.4,0,
414,12,10,0,7,4,0,18,12,20,5,4,0,10,5,0,10.4,7,4,
415,11,10,0,6,5,15,15,11,0,5,4,0,11,5,0,9.6,7,3,
416,11,10,0,6,3,0,15,12,0,7,5,0,9,5,0,9.6,7,0,
417,13,10,0,6,3,0,15,12,0,7,6,0,9,4,0,10,7,0,
418,12,10,0,5,3,0,14,14,0,7,6,0,7,3,1,9,7.2,0.2,
419,12,10,0,5,3,0,15,14,0,8,7,0,8,3,0,9.6,7.4,0,
420,12,9,15,5,3,0,17,14,0,7,7,0,7,3,0,9.6,7.2,3,
421,12,9,0,5,3,0,17,14,15,7,7,0,7,4,0,9.6,7.4,3,
422,11,8,2,4,3,0,17,12,0,7,7,0,8,7,0,9.4,7.4,0.4,
423,12,9,0,4,4,0,20,13,0,7,7,0,10,8,0,10.6,8.2,0,
424,13,9,0,5,3,0,19,15,0,10,9,0,12,10,0,11.8,9.2,0,
425,13,8,0,5,3,0,17,16,0,9,9,0,11,10,0,11,9.2,0,
426,13,8,0,5,3,0,18,16,5,9,9,0,11,11,0,11.2,9.4,1,
427,14,8,0,3,3,0,18,15,0,9,8,0,11,11,0,11,9,0,
428,10,8,0,3,3,0,19,14,0,9,7,0,13,11,0,10.8,8.6,0,
429,9,8,0,3,3,0,19,14,0,11,8,0,12,11,0,10.8,8.8,0,
430,8,8,6,4,4,0,19,13,0,10,7,0,13,12,13,10.8,8.8,3.8,
431,9,7,0,5,4,1,16,13,0,10,7,0,14,12,0,10.8,8.6,0.2,
432,9,7,0,5,3,0,16,13,0,9,6,0,13,12,6,10.4,8.2,1.2,
433,8,7,0,7,4,0,15,13,10,8,6,0,14,12,0,10.4,8.4,2,
434,7,6,0,7,5,0,16,13,12,7,6,0,14,13,0,10.2,8.6,2.4,
435,9,6,0,6,5,0,15,12,0,7,6,0,14,13,0,10.2,8.4,0,
436,10,7,0,6,5,0,15,12,0,8,7,0,13,12,0,10.4,8.6,0,
437,10,7,0,6,5,0,14,12,0,8,6,0,13,11,0,10.2,8.2,0,
438,11,9,0,5,5,0,14,11,0,8,7,0,13,10,0,10.2,8.4,0,
439,12,9,0,5,5,0,16,9,12,8,7,0,12,8,0,10.6,7.6,2.4,
440,12,9,0,6,5,0,15,9,0,8,6,3,11,8,0,10.4,7.4,0.6,
441,12,10,0,6,5,0,17,10,2,9,6,0,11,9,0,11,8,0.4,
442,12,10,13,7,6,0,16,11,0,8,6,0,10,8,0,10.6,8.2,2.6,
443,11,9,0,6,5,0,14,11,6,8,6,0,11,8,0,10,7.8,1.2,
444,11,9,0,7,5,0,13,10,0,7,6,0,11,8,0,9.8,7.6,0,
445,11,9,0,7,5,0,13,11,0,8,6,18,12,8,0,10.2,7.8,3.6,
446,11,9,0,7,5,0,14,11,0,7,5,0,12,9,0,10.2,7.8,0,
447,10,9,0,7,4,0,16,12,10,7,5,0,12,9,0,10.4,7.8,2,
448,10,9,0,7,3,0,15,11,0,9,6,0,11,8,0,10.4,7.4,0,
449,9,9,0,6,3,0,15,11,0,8,6,0,11,7,12,9.8,7.2,2.4,
450,11,10,0,5,2,0,14,11,0,8,7,0,11,6,0,9.8,7.2,0,
451,11,10,0,3,1,0,14,11,17,8,7,0,13,7,0,9.8,7.2,3.4,
452,12,11,0,3,1,0,13,11,0,8,6,0,12,7,11.5,9.6,7.2,2.3,
453,12,10,0,3,2,0,13,11,22,7,6,0,10,5,0,9,6.8,4.4,
454,12,9,12,2,2,0,12,9,0,7,5,0,9,5,0,8.4,6,2.4,
455,13,7,0,2,2,0,12,9,0,7,4,0,8,5,0,8.4,5.4,0,
456,13,7,32,2,1,0,15,10,0,6,4,18,8,6,13,8.8,5.6,12.6,
457,9,5,0,2,1,0,16,11,0,5,4,0,7,5,0,7.8,5.2,0,
458,9,4,0,3,1,0,15,11,0,6,4,0,6,5,0,7.8,5,0,
459,9,4,0,3,2,0,13,10,0,6,5,0,6,6,0,7.4,5.4,0,
460,6,4,0,3,2,0,13,10,0,5,5,0,7,5,0,6.8,5.2,0,
461,5,4,0,3,3,0,13,10,2,6,6,0,7,5,0,6.8,5.6,0.4,
462,5,5,0,4,3,0,14,9,0,6,5,0,7,6,0,7.2,5.6,0,
463,6,6,0,4,3,0,12,9,8,6,5,0,7,6,0,7,5.8,1.6,
464,7,6,0,4,3,0,12,8,0,6,4,0,8,6,0,7.4,5.4,0,
465,7,6,0,4,3,0,14,11,0,9,5,0,8,7,0,8.4,6.4,0,
466,7,5,0,4,3,0,14,9,0,7,5,0,7,7,0,7.8,5.8,0,
467,9,6,0,4,3,0,12,9,0,9,6,0,8,7,0,8.4,6.2,0,
468,10,6,0,4,3,0,13,10,0,7,6,0,10,7,0,8.8,6.4,0,
469,9,7,0,4,2,0,15,10,0,7,6,0,9,7,0,8.8,6.4,0,
470,10,6,6,3,2,0,12,10,0,7,6,0,9,7,0,8.2,6.2,1.2,
471,9,5,0,3,2,0,12,10,7,7,5,0,9,7,0,8,5.8,1.4,
472,10,4,0,4,2,0,11,9,0,8,5,0,8,7,0,8.2,5.4,0,
473,10,4,0,4,2,0,12,10,0,8,4,0,8,7,0,8.4,5.4,0,
474,11,5,0,4,2,0,13,12,0,7,4,28,8,7,0,8.6,6,5.6,
475,10,6,0,4,1,0,14,11,0,7,4,0,8,6,0,8.6,5.6,0,
476,7,6,0,3,1,0,15,9,11,6,4,0,8,6,27,7.8,5.2,7.6,
477,6,5,0,4,2,0,15,8,0,5,4,0,8,5,0,7.6,4.8,0,
478,6,5,0,4,2,0,15,10,0,5,4,0,8,7,2,7.6,5.6,0.4,
479,7,5,0,3,2,0,16,10,0,4,3,0,8,5,9,7.6,5,1.8,
480,9,7,0,3,2,0,17,12,0,5,4,0,8,5,0,8.4,6,0,
481,8,6,0,3,2,0,16,10,0,5,3,0,6,5,0,7.6,5.2,0,
482,7,6,0,3,2,0,16,11,0,7,4,0,5,4,0,7.6,5.4,0,
483,9,7,4,2,2,0,13,12,9,7,5,0,7,5,0,7.6,6.2,2.6,
484,8,7,0,3,3,0,13,10,0,8,5,0,7,5,0,7.8,6,0,
485,10,7,0,3,3,0,15,12,0,6,5,0,7,5,0,8.2,6.4,0,
486,9,7,0,4,3,0,13,12,0,5,5,0,6,5,0,7.4,6.4,0,
487,7,7,0,4,4,0,13,11,0,6,6,0,7,5,0,7.4,6.6,0,
488,8,8,0,5,4,0,13,11,0,7,6,0,7,5,0,8,6.8,0,
489,8,8,0,4,4,0,12,11,0,6,6,0,7,5,0,7.4,6.8,0,
490,8,8,0,4,4,0,14,11,0,6,6,0,6,5,21,7.6,6.8,4.2,
491,8,8,0,5,4,0,14,12,0,7,5,0,5,4,0,7.8,6.6,0,
492,8,8,0,5,4,0,16,12,1,8,5,0,7,4,0,8.8,6.6,0.2,
493,9,8,0,6,5,0,14,11,0,7,6,0,6,4,0,8.4,6.8,0,
494,10,7,0,5,5,0,13,10,0,7,6,0,7,3,0,8.4,6.2,0,
495,12,9,0,5,5,0,14,11,0,6,6,0,8,4,0,9,7,0,
496,11,9,0,5,5,0,14,10,12,8,8,12,6,4,0,8.8,7.2,4.8,
497,10,9,0,4,4,0,13,9,0,8,6,0,6,4,0,8.2,6.4,0,
498,10,9,0,4,4,0,15,11,0,8,5,0,6,3,0,8.6,6.4,0,
499,10,9,0,5,3,0,16,11,0,8,5,0,5,3,0,8.8,6.2,0,
500,10,7,0,5,3,0,15,11,0,8,5,0,4,3,0,8.4,5.8,0,
501,10,7,0,5,2,0,15,12,0,8,5,0,5,3,4,8.6,5.8,0.8,
502,9,7,0,5,2,0,14,11,0,6,4,0,4,2,0,7.6,5.2,0,
503,9,7,0,5,2,0,13,10,0,7,4,0,3,2,0,7.4,5,0,
504,9,6,0,4,1,0,13,10,0,6,5,0,3,2,0,7,4.8,0,
505,10,5,0,3,2,0,13,9,0,6,5,0,6,4,0,7.6,5,0,
506,9,5,0,3,2,0,12,9,0,6,5,0,6,4,0,7.2,5,0,
507,9,5,19,3,2,0,12,10,0,5,5,0,5,4,0,6.8,5.2,3.8,
508,8,3,0,2,2,0,13,11,0,5,5,0,6,5,0,6.8,5.2,0,
509,8,4,0,2,2,0,12,11,0,5,5,0,6,5,0,6.6,5.4,0,
510,8,4,0,2,2,0,13,12,0,6,5,0,5,5,0,6.8,5.6,0,
511,8,3,0,2,2,0,13,12,11,6,5,0,5,5,0,6.8,5.4,2.2,
512,7,4,0,2,2,0,13,9,0,6,3,0,5,5,4,6.6,4.6,0.8,
513,6,3,0,3,2,0,15,10,0,6,3,0,5,3,0,7,4.2,0,
514,6,3,4,4,3,0,16,11,0,6,3,0,5,3,0,7.4,4.6,0.8,
515,7,3,0,4,4,0,15,12,0,5,3,9,5,3,0,7.2,5,1.8,
516,6,3,0,5,5,8,13,11,0,6,2,0,6,4,0,7.2,5,1.6,
517,6,3,0,5,4,0,14,10,0,6,3,0,6,4,0,7.4,4.8,0,
518,7,3,0,5,4,0,14,9,0,7,4,0,5,4,0,7.6,4.8,0,
519,5,3,0,4,4,0,11,9,0,7,5,0,5,4,0,6.4,5,0,
520,5,4,0,5,4,0,11,9,18,7,5,0,6,4,0,6.8,5.2,3.6,
521,6,5,0,5,5,0,11,7,0,7,4,0,6,4,0,7,5,0,
522,5,5,0,5,5,0,11,7,0,7,5,0,5,3,0,6.6,5,0,
523,5,5,0,5,5,0,11,7,0,6,5,0,5,3,0,6.4,5,0,
524,6,5,0,5,5,0,8,7,0,6,5,0,5,3,0,6,5,0,
525,8,6,0,5,4,0,10,8,0,7,6,0,6,3,0,7.2,5.4,0,
526,8,6,0,5,4,0,9,8,0,6,6,0,5,3,0,6.6,5.4,0,
527,7,5,0,5,4,0,11,7,20,6,6,0,5,3,0,6.8,5,4,
528,5,5,0,5,4,0,11,5,0,6,6,0,3,3,0,6,4.6,0,
529,5,5,0,5,3,0,10,6,0,7,6,0,3,3,0,6,4.6,0,
530,6,5,0,4,2,0,12,7,0,7,7,0,3,3,0,6.4,4.8,0,
531,7,4,0,5,2,0,15,9,0,7,6,0,6,3,0,8,4.8,0,
532,6,4,0,5,2,0,14,9,0,7,4,0,4,4,0,7.2,4.6,0,
533,7,5,0,4,2,0,13,9,0,8,4,0,5,4,0,7.4,4.8,0,
534,6,5,0,3,1,0,10,9,6,8,4,0,5,4,0,6.4,4.6,1.2,
535,6,5,0,2,1,0,10,8,0,7,4,0,6,6,0,6.2,4.8,0,
536,6,6,0,2,1,0,10,8,26,5,4,0,6,5,0,5.8,4.8,5.2,
537,7,6,0,1,1,0,10,7,0,4,4,0,6,5,0,5.6,4.6,0,
538,7,5,0,1,1,0,8,7,0,4,4,2,6,5,0,5.2,4.4,0.4,
539,7,4,0,1,1,0,8,7,0,5,4,0,7,3,0,5.6,3.8,0,
540,7,4,0,3,2,0,10,7,0,5,4,0,8,4,0,6.6,4.2,0,
541,6,4,0,3,2,0,8,7,18,5,3,0,7,4,0,5.8,4,3.6,
542,6,4,0,4,3,0,8,6,0,6,3,0,6,4,0,6,4,0,
543,5,4,0,4,3,0,9,5,14,6,3,0,4,4,0,5.6,3.8,2.8,
544,5,4,0,4,3,0,9,4,0,5,2,0,4,4,0,5.4,3.4,0,
545,5,4,0,5,3,9,8,5,0,4,2,0,4,4,0,5.2,3.6,1.8,
546,5,4,6,4,2,0,7,5,0,5,3,0,4,4,0,5,3.6,1.2,
547,4,3,0,4,2,0,5,5,0,5,3,0,4,4,0,4.4,3.4,0,
548,6,4,0,3,2,0,5,5,0,4,3,0,4,4,0,4.4,3.6,0,
549,6,4,0,3,2,0,6,5,0,4,4,0,4,3,4,4.6,3.6,0.8,
550,7,3,0,3,2,0,8,7,0,5,5,0,5,2,0,5.6,3.8,0,
551,7,3,0,3,2,0,9,6,0,5,5,0,5,2,0,5.8,3.6,0,
552,4,3,0,2,2,0,9,6,0,6,6,0,5,3,0,5.2,4,0,
553,4,3,0,3,3,0,10,6,0,7,5,0,5,4,0,5.8,4.2,0,
554,4,2,0,3,2,0,10,6,0,7,5,0,6,5,0,6,4,0,
555,5,3,0,3,2,0,9,6,0,7,5,0,6,4,0,6,4,0,
556,5,3,0,3,2,0,8,6,0,6,5,0,6,3,0,5.6,3.8,0,
557,4,3,0,2,2,0,7,6,0,6,5,0,7,3,0,5.2,3.8,0,
558,4,3,0,2,2,0,7,5,0,6,5,0,4,3,0,4.6,3.6,0,
559,5,4,0,3,3,0,7,5,0,7,5,0,4,3,0,5.2,4,0,
560,5,4,0,3,2,0,9,6,0,6,5,0,5,4,0,5.6,4.2,0,
561,5,4,0,4,2,0,8,4,13,6,5,0,5,4,0,5.6,3.8,2.6,
562,5,4,0,3,2,0,8,3,0,6,5,0,5,4,0,5.4,3.6,0,
563,4,4,0,3,2,0,7,3,0,5,4,0,5,5,0,4.8,3.6,0,
564,5,3,0,4,3,0,7,3,0,6,5,0,5,5,0,5.4,3.8,0,
565,4,3,0,4,4,0,6,4,0,6,5,0,6,5,0,5.2,4.2,0,
566,4,3,0,4,4,0,7,5,0,6,4,0,6,4,0,5.4,4,0,
567,4,2,0,4,4,0,7,5,0,5,4,0,6,4,0,5.2,3.8,0,
568,6,3,0,4,4,0,6,5,0,5,3,0,5,4,0,5.2,3.8,0,
569,5,3,0,4,4,0,6,5,0,4,3,0,6,4,0,5,3.8,0,
570,6,3,0,4,4,0,5,4,0,5,4,0,6,4,0,5.2,3.8,0,
571,6,3,0,4,4,0,5,4,0,5,4,0,5,3,0,5,3.6,0,
572,3,3,0,4,4,0,6,4,0,5,4,0,4,3,0,4.4,3.6,0,
573,4,2,0,4,3,0,7,4,0,6,4,14,4,3,0,5,3.2,2.8,
574,3,2,0,4,3,0,8,4,0,5,3,0,4,2,0,4.8,2.8,0,
575,3,2,0,4,2,0,7,5,0,5,4,0,4,2,0,4.6,3,0,
576,3,2,0,3,2,0,6,5,0,5,3,0,4,2,0,4.2,2.8,0,
577,3,2,0,3,2,0,6,5,0,6,3,0,2,1,0,4,2.6,0,
578,3,2,0,3,2,0,7,5,0,5,4,0,2,1,0,4,2.8,0,
579,2,2,0,3,1,0,7,5,0,5,4,0,2,1,0,3.8,2.6,0,
580,2,2,0,3,0,0,7,5,0,5,5,0,3,2,0,4,2.8,0,
581,3,2,0,3,0,0,8,6,0,5,5,0,2,2,0,4.2,3,0,
582,3,2,0,2,0,0,8,6,0,6,4,0,2,2,0,4.2,2.8,0,
583,3,3,0,1,0,0,8,5,0,6,4,0,3,2,0,4.2,2.8,0,
584,4,4,0,1,0,0,8,4,0,5,4,0,2,2,0,4,2.8,0,
585,4,4,0,0,0,0,5,4,0,5,4,0,2,2,0,3.2,2.8,0,
586,5,3,12,0,0,0,5,4,0,6,4,0,2,2,0,3.6,2.6,2.4,
587,5,2,0,1,0,0,5,4,0,5,4,0,2,2,0,3.6,2.4,0,
588,4,2,0,1,0,0,6,5,0,5,3,0,3,2,0,3.8,2.4,0,
589,3,2,0,1,0,0,5,4,0,4,3,0,3,2,0,3.2,2.2,0,
590,3,2,0,1,0,0,5,4,0,4,3,0,3,1,0,3.2,2,0,
591,5,4,0,0,0,0,6,4,0,5,2,0,4,1,0,4,2.2,0,
592,5,4,0,0,0,0,6,5,0,5,1,0,5,1,0,4.2,2.2,0,
593,4,4,0,0,0,0,6,5,0,4,1,0,5,2,0,3.8,2.4,0,
594,4,4,0,0,0,0,8,4,0,3,0,0,4,1,0,3.8,1.8,0,
595,6,4,0,1,0,0,6,4,0,2,0,0,3,1,0,3.6,1.8,0,
596,5,4,0,2,1,0,5,4,0,2,1,0,3,1,0,3.4,2.2,0,
597,5,4,0,3,1,0,6,5,0,3,1,0,1,1,0,3.6,2.4,0,
598,5,5,0,2,1,0,5,5,0,3,1,0,1,1,0,3.2,2.6,0,
599,5,5,0,3,2,0,5,5,2,2,1,0,1,1,0,3.2,2.8,0.4,
600,5,4,0,3,2,0,5,4,0,3,1,0,1,1,0,3.4,2.4,0,
601,5,4,0,3,2,0,6,4,0,4,1,0,1,1,0,3.8,2.4,0,
602,5,4,0,2,2,0,4,4,0,3,1,0,2,2,0,3.2,2.6,0,
603,4,3,0,2,2,0,4,4,0,3,1,0,2,2,0,3,2.4,0,
604,4,3,0,2,2,0,4,4,0,3,2,0,2,2,0,3,2.6,0,
605,4,3,0,2,2,0,5,4,0,4,2,0,3,3,0,3.6,2.8,0,
606,4,3,0,3,3,0,5,2,0,3,3,0,3,3,0,3.6,2.8,0,
607,3,3,0,3,3,0,5,2,0,3,3,0,4,3,0,3.6,2.8,0,
608,3,3,0,3,3,0,5,2,0,3,3,0,5,4,0,3.8,3,0,
609,3,2,0,3,3,0,2,2,0,3,3,0,5,4,0,3.2,2.8,0,
610,4,2,0,3,3,0,2,2,0,3,3,0,5,4,0,3.4,2.8,0,
611,2,1,0,3,3,0,3,2,0,3,3,0,6,4,0,3.4,2.6,0,
612,3,1,0,3,3,0,4,2,0,3,3,0,6,4,0,3.8,2.6,0,
613,3,1,0,3,2,0,6,3,3,3,3,0,5,4,0,4,2.6,0.6,
614,2,1,0,4,1,0,8,3,0,5,3,0,4,4,0,4.6,2.4,0,
615,2,1,0,3,1,0,6,2,0,5,3,0,4,4,0,4,2.2,0,
616,1,0,0,2,1,0,5,3,0,4,2,0,4,4,0,3.2,2,0,
617,1,0,0,2,1,0,6,3,0,4,2,0,4,4,0,3.4,2,0,
618,2,0,0,1,1,0,6,3,0,4,2,0,4,4,0,3.4,2,0,
619,2,0,0,1,1,0,5,3,0,2,2,0,4,4,0,2.8,2,0,
620,2,0,0,1,1,0,5,3,0,2,2,0,4,4,0,2.8,2,0,
621,2,0,0,1,1,0,4,3,0,2,2,0,4,3,0,2.6,1.8,0,
622,2,0,0,1,1,0,4,3,0,2,0,0,4,1,0,2.6,1,0,
623,2,0,0,1,1,0,5,3,0,2,0,0,5,1,0,3,1,0,
624,0,0,0,1,0,0,4,3,0,1,0,0,5,2,0,2.2,1,0,
625,0,0,0,1,0,0,3,3,0,0,0,0,4,2,0,1.6,1,0,
626,0,0,0,1,0,0,4,4,0,0,0,0,2,2,0,1.4,1.2,0,
627,1,1,0,1,0,0,4,4,0,0,0,0,2,1,0,1.6,1.2,0,
628,2,2,0,3,1,0,5,5,0,0,0,0,3,1,0,2.6,1.8,0,
629,2,2,0,2,1,0,5,5,0,1,0,0,2,1,0,2.4,1.8,0,
630,3,2,0,2,1,0,5,5,0,1,0,0,2,1,0,2.6,1.8,0,
631,3,2,0,1,1,0,6,4,0,1,0,0,2,1,0,2.6,1.6,0,
632,3,2,0,1,1,0,7,2,0,2,0,0,2,1,0,3,1.2,0,
633,3,2,0,1,1,0,6,2,0,1,0,0,1,1,0,2.4,1.2,0,
634,4,2,0,1,1,0,4,2,0,1,0,0,1,1,0,2.2,1.2,0,
635,4,3,0,1,1,0,3,2,0,1,0,0,1,1,0,2,1.4,0,
636,4,3,0,1,1,0,2,2,0,2,0,0,1,1,0,2,1.4,0,
